HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice,Size(sqf)_bins,N_FacilitiesInApt_bins,N_FacilitiesNearBy(PublicOffice)_bins,N_SchoolNearBy(University)_bins
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,223008,501-1000,5,2,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,236725,501-1000,5,2,2
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,123893,501-1000,3,5,4
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,57964,501-1000,3,5,0
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,61504,501-1000,3,7,5
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,118584,501-1000,3,7,5
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,177876,501-1000,8,3,2
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,75221,501-1000,5,7,3
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,320353,1001-1500,4,2,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,252212,501-1000,5,1,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,175221,501-1000,7,5,4
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,173451,501-1000,4,6,5
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,282566,1001-1500,4,2,2
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,199469,1001-1500,4,2,2
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,2003,5,907,117699,501-1000,5,7,3
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,182300,501-1000,5,2,2
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,185840,501-1000,4,3,1
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,846,307079,501-1000,9,7,5
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,153982,501-1000,4,5,1
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,302654,501-1000,4,3,1
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,49115,0-500,3,7,5
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,203539,501-1000,9,7,5
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,194690,501-1000,5,1,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,262389,1001-1500,5,1,2
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,176991,501-1000,8,3,2
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,230088,1001-1500,4,2,2
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,69026,501-1000,3,7,5
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,205752,501-1000,7,5,4
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,119469,501-1000,5,2,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,294690,1001-1500,4,5,1
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,118584,501-1000,3,5,4
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,161061,501-1000,7,5,4
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,161946,501-1000,7,5,4
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,181415,1501-2000,4,6,5
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,232743,501-1000,7,5,4
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,200000,501-1000,5,1,2
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,1252,471504,1001-1500,10,0,0
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,207964,1001-1500,4,5,1
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,128318,501-1000,5,7,3
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,1291,429203,1001-1500,9,7,5
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,99115,501-1000,3,7,5
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,150000,501-1000,3,5,4
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,207964,1001-1500,4,2,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,238053,1001-1500,5,1,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,137168,501-1000,7,5,4
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,371681,1001-1500,10,3,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1519,361061,1501-2000,10,3,2
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,185398,501-1000,4,3,1
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,138053,501-1000,7,5,4
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1519,504424,1501-2000,10,3,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,307079,501-1000,7,5,3
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,185840,501-1000,4,6,5
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,96017,0-500,2,3,2
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,112389,501-1000,3,7,5
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,256637,1501-2000,4,6,5
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,846,310619,501-1000,9,7,5
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,66371,501-1000,3,5,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,311504,501-1000,10,3,2
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,202654,501-1000,8,3,2
terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,2015,7,644,254867,501-1000,7,3,2
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,227433,501-1000,8,3,2
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,48053,0-500,3,7,5
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,274336,501-1000,10,3,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,128318,501-1000,4,6,5
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,154159,501-1000,3,5,4
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,202654,501-1000,10,3,2
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,871,161061,501-1000,3,3,2
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,286725,1001-1500,4,2,2
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,93362,501-1000,3,5,0
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,362831,1501-2000,10,3,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,161061,501-1000,4,6,5
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,814,178318,501-1000,5,2,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,178761,501-1000,4,6,5
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,445132,1501-2000,10,3,2
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,914,119469,501-1000,5,7,3
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,2092,230088,2001-2500,4,5,1
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,217699,1001-1500,4,5,1
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,218584,501-1000,3,5,4
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,234513,501-1000,5,2,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,300000,1001-1500,5,1,2
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,349557,501-1000,9,7,5
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,206194,501-1000,4,6,5
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,515929,1501-2000,10,3,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1796,223008,1501-2000,4,5,1
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1288,159292,1001-1500,4,6,5
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,64601,501-1000,3,7,5
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,336283,1001-1500,5,4,1
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,112566,501-1000,7,5,4
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,207964,501-1000,5,1,2
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,219469,501-1000,5,2,1
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,191150,501-1000,5,2,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,331858,2001-2500,5,1,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,522123,1501-2000,10,3,2
terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,2015,7,644,282300,501-1000,7,3,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,262831,501-1000,5,1,2
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,380530,1001-1500,5,4,1
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,82300,501-1000,3,7,5
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,843,310176,501-1000,9,7,5
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,93097,0-500,2,3,2
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,32743,0-500,3,7,5
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,143805,501-1000,7,5,4
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,166371,501-1000,5,7,3
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,203539,501-1000,5,2,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,168141,1001-1500,4,6,5
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,135398,501-1000,4,6,5
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,244911,501-1000,7,5,3
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,371681,1001-1500,5,4,1
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,252212,501-1000,8,3,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,130973,501-1000,4,6,5
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,857,218584,501-1000,4,3,1
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,300000,501-1000,5,2,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,429203,1501-2000,10,3,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,97345,501-1000,4,6,5
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,153982,501-1000,4,6,5
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,846,314159,501-1000,9,7,5
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,857,199115,501-1000,4,3,1
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,109734,501-1000,3,5,0
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,199115,501-1000,8,3,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,235398,501-1000,7,5,4
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,309734,1001-1500,7,5,4
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,229203,1001-1500,4,2,2
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,109734,501-1000,3,7,5
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,169911,501-1000,8,3,2
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,349557,1001-1500,4,2,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,305309,1501-2000,4,6,5
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,192920,501-1000,5,2,1
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,165486,501-1000,4,2,2
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,54867,501-1000,3,7,5
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,130973,501-1000,4,5,1
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,292035,1501-2000,5,1,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,251327,501-1000,7,5,4
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,253097,1001-1500,4,2,2
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,857,265486,501-1000,4,3,1
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,155752,501-1000,4,6,5
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,340707,501-1000,10,3,2
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,407079,1001-1500,4,2,2
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,259292,1001-1500,4,2,2
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,676,94955,501-1000,3,5,0
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,246017,501-1000,9,7,5
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,207079,501-1000,4,3,1
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,238053,501-1000,5,1,2
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,200884,501-1000,8,3,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,308849,501-1000,10,3,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,356637,1501-2000,10,3,2
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,272566,1001-1500,4,2,2
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,115044,501-1000,3,5,4
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,179646,501-1000,4,6,5
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,526548,1501-2000,10,3,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,164601,1001-1500,4,5,1
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,150442,501-1000,4,6,5
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,159292,1001-1500,4,5,1
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,174336,501-1000,4,3,1
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,366371,501-1000,9,7,5
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,115044,501-1000,3,5,4
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,132743,501-1000,4,6,5
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,213,74778,0-500,2,3,2
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,211150,501-1000,8,3,2
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,334513,501-1000,9,7,5
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,843,307964,501-1000,9,7,5
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,517699,1501-2000,10,3,2
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,207079,501-1000,4,2,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,460176,2001-2500,5,1,2
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,192920,501-1000,4,2,2
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,214159,501-1000,8,3,2
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,176991,501-1000,8,3,2
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,101327,0-500,2,3,2
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,61946,501-1000,3,5,0
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,336283,501-1000,7,5,3
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,376106,1001-1500,5,1,2
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,276991,501-1000,5,2,1
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,180973,501-1000,4,3,1
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,80530,501-1000,4,6,5
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,194690,501-1000,5,1,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,149115,501-1000,4,6,5
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,161061,501-1000,5,2,1
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,294690,501-1000,5,1,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,185840,2001-2500,4,6,5
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,2092,221238,2001-2500,4,5,1
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,157079,501-1000,4,6,5
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,92920,501-1000,3,5,0
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,73008,501-1000,7,5,4
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,398230,1501-2000,10,3,2
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,1448,169911,1001-1500,3,5,4
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,253982,501-1000,5,2,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,326548,501-1000,10,3,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,293238,1501-2000,10,3,2
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,241592,501-1000,9,7,5
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,205309,501-1000,5,1,2
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,222123,501-1000,8,3,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,268141,1001-1500,4,5,1
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,211504,501-1000,5,1,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,273451,501-1000,7,5,4
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,212389,501-1000,8,3,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,176106,1001-1500,4,5,1
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,201769,501-1000,7,5,4
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,327433,1001-1500,10,3,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,279646,1001-1500,5,1,2
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,103982,0-500,2,3,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,353982,2001-2500,4,6,5
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,61946,0-500,3,7,5
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,339823,501-1000,5,2,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,501769,1501-2000,10,3,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,345132,501-1000,7,5,3
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,423008,1501-2000,10,3,2
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,91592,501-1000,3,7,5
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1444,313274,1001-1500,5,4,1
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,40088,0-500,3,7,5
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1519,530973,1501-2000,10,3,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,228761,501-1000,7,5,4
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,486725,1501-2000,10,3,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,480530,1001-1500,10,3,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,351769,1001-1500,10,3,2
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,197345,501-1000,8,3,2
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,307964,501-1000,8,3,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,142920,501-1000,7,5,4
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,163716,501-1000,7,5,4
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,196460,501-1000,8,3,2
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,79646,501-1000,3,5,0
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,172566,501-1000,5,7,3
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,65929,501-1000,3,7,5
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,176991,2001-2500,4,6,5
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,415929,2001-2500,5,1,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,202654,2001-2500,4,6,5
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,200884,501-1000,10,3,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,585840,1501-2000,10,3,2
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,345132,1001-1500,5,2,1
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,73893,0-500,3,7,5
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,176106,1001-1500,4,5,1
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,415929,1501-2000,5,1,2
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,37610,0-500,3,7,5
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,84070,501-1000,3,7,5
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,159292,501-1000,8,3,2
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,109734,501-1000,3,5,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,232743,501-1000,5,2,2
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,384955,1001-1500,5,4,1
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,146902,501-1000,4,5,1
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,284070,1001-1500,4,5,1
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,814,280530,501-1000,5,2,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1796,363716,1501-2000,4,5,1
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1369,261061,1001-1500,4,2,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,136725,501-1000,7,5,4
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,185840,501-1000,5,2,1
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,308849,501-1000,5,1,2
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,119026,501-1000,3,7,5
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,334955,501-1000,9,7,5
